path	sha256	state	flow	reason-to-change	existing-owner/reuse	test	commit
packages/containerhub-agent/src/index.ts	c30be1a2e4e865064d4b4f9aeacea6158363eb6b4dcb9fedf7d1e7fe20701658	unchanged	process entry -> startAgent -> failure exit code	Six-line boot boundary already isolates startup failure; extraction would add a jump with no clearer owner.	Existing owner retained	No direct entry test; server.test.ts exercises build/config, npm test --workspace=@containerhub/agent: 7/7 pass.	-
packages/containerhub-agent/src/server.ts	9b9a47e33aadc0a2e76cb55dce5e848f75dbca727a64012c43c6094e3067a69a	unchanged	config/mTLS -> Fastify health and Docker routes -> guarded host folders/files	Keep existing file-security helpers (lines 57-155), safeDataPath (199-215), and per-route guards together: root/realpath/symlink/inode checks and descriptor-relative O_NOFOLLOW opens are a security chain, not redundant complexity. Read-only Docker endpoints are short; extracting route setup adds indirection without a shorter interface.	Existing owner retained	server.test.ts covers config, stats, health, running inventory, host-root/symlink/hardlink rejection; AgentHealthClient.test.ts covers consumer node/payload checks; npm test --workspace=@containerhub/agent: 7/7 pass (no live Docker).	-
packages/containerhub-agent/src/terminalRoutes.ts	aa21d0718fc6b0f5a6e9b5fea67450be4047fa5dfa27ec3aa43cbe5b4950f4b0	unchanged	WebSocket preValidation -> Docker inspect/exec -> binary/control relay -> close/timeout	One file owns authorization and terminal lifetime correctly, but nested message/resize and anonymous async startup (lines 59-117) make phases harder to scan. If an actual readability cut is warranted, name local startup/control handlers in this file while retaining the single connection-owned state, validation, backpressure, timers and close ordering; do not extract a generic session framework. Decision: Connection-owned timers, resize/backpressure and teardown should stay together; local handler names offer too little gain without edge-case coverage.	Existing owner retained	terminalRoutes.test.ts exercises real mTLS WSS, plaintext WS, identity/resize/binary, buffer limits and teardown; npm test --workspace=@containerhub/agent: 7/7 pass. Before any refactor, characterize timer/backpressure edges then rerun tests/build; live Docker unverified.	-
packages/containerhub-back/src/factories/AuthenticationHeaders.ts	69776cf32de72196e78bd5a3d02214fa9952c92eead572682cd194ec3ad744da	unchanged	HTTP/auth	Single header promotion guard; no separate owner would shorten the flow.	Existing owner retained	AuthenticationHeaders.test.ts	-
packages/containerhub-back/src/factories/GraphQLSchema.ts	acede525eeee75bea9a24d59ff46396c4967f418fdb43b5520bac7edbb19d2a5	unchanged	HTTP/GraphQL	Only loads and merges local typedefs/resolvers by runtime extension.	Existing owner retained	YogaFastifyServerFactory.test.ts	-
packages/containerhub-back/src/factories/YogaFastifyServerFactory.ts	366bffe1f60822abbd86ee53ce54f09c8864d311fc0dc71040c37ff7cd025296	unchanged	HTTP/bootstrap	Swagger tagging, auth hooks and plugin registration are visible together; splitting security/order-sensitive wiring adds jumps.	Existing owner retained	YogaFastifyServerFactory.test.ts;ApiKeyAuthentication.test.ts	-
packages/containerhub-back/src/index.ts	493f7b129ae22376f2eb925b6c6350282d884b1899ebb66d213e6d8010ecb6c6	unchanged	HTTP/bootstrap	Straight setup -> server factory -> static UI -> task watcher -> listen sequence.	Existing owner retained	-	-
packages/containerhub-back/src/modules/gitlab/routes/GitLabRoutes.ts	545fec0968f2016d2146a77f8de6b46103bc6e5dae9c542f0657d91974b543e3	unchanged	GitLab integration	Three permissioned endpoints delegate to the existing GitLabService owner.	Existing owner retained	GitLabRoutes.test.ts	-
packages/containerhub-back/src/modules/gitlab/services/GitLabService.ts	dc1ee54ed2e5c1997f1a7f8dbfd44ae6497f7695f8b99cdea16013f5601acba2	unchanged	GitLab integration	Shared authenticated fetch and project/tag/pipeline mapping remain one small external API adapter.	Existing owner retained	GitLabService.test.ts	-
packages/containerhub-back/src/modules/monitoring/factory/MonitoringCollectorFactory.ts	f37e3eb3177f05b28d7f9f7ac5ff88cdcc30f79b2df8693ba165d6333a3514d6	unchanged	Monitoring samples	Single lazy collector wiring from service stats to metrics schema and sample service.	Existing owner retained	MonitoringCollectorFactory.test.ts	-
packages/containerhub-back/src/modules/monitoring/factory/MonitoringSampleServiceFactory.ts	6e8dd1b740becce70a52f6c7ed956ac8e0fbb1fa68cb420abb87e5e635222266	unchanged	Monitoring samples	Selects Mongo/SQLite repository and builds SQLite table for one sample service.	Existing owner retained	MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/factory/MonitoringServiceFactory.ts	cdc98794173d0c9fe3046443061d2071fb67460a0f157561bceaf658c82fc595	unchanged	Monitoring configuration	Selects Mongo/SQLite repository and builds SQLite table for one configuration service.	Existing owner retained	Monitoring.test.ts	-
packages/containerhub-back/src/modules/monitoring/factory/TaskMonitorizationFactory.ts	d45f0d15aed31275f698f2a6249e8517a9c84963c48c26edd375bf3278e3e886	unchanged	Task lifecycle history	Single cached repository choice; interface expresses both repository consumers' contract.	Existing owner retained	TaskMonitorizationRoutes.test.ts	-
packages/containerhub-back/src/modules/monitoring/interfaces/IMonitoring.ts	be175371f7dd473a73b9540494f0dce34a15c940e311e9ed7f64c8bc4ad3102b	unchanged	Monitoring configuration	Only schema-inferred configuration types; no duplicate transformation.	Existing owner retained	Monitoring.test.ts	-
packages/containerhub-back/src/modules/monitoring/interfaces/IMonitoringSample.ts	51fd72b3f69b6ca327c94e5da5e2a2f7b9f80e55d3b165885890820c930b4c2a	unchanged	Monitoring samples	Only schema-inferred metrics/sample types; no runtime control flow.	Existing owner retained	MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/models/MonitoringModel.ts	20e66774997216afbe5ad2bf6ed6c3a40e1bad87b83dcc000880d0520a2995e2	unchanged	Monitoring configuration	Only Mongo configuration schema and pagination binding.	Existing owner retained	Monitoring.test.ts	-
packages/containerhub-back/src/modules/monitoring/models/MonitoringSampleModel.ts	31c58749d20118d5192fb8b977837f365beeea4051c97c623338d04b2cdf9d74	unchanged	Monitoring samples	Only Mongo sample indexes/schema and pagination binding.	Existing owner retained	MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/models/TaskMonitorization.ts	19d8774bc2e49a3ee47a3c442e058742dddcfe927cb08b7e256c6201d8c192ad	unchanged	Task lifecycle history	Only event model/schema and descending date index.	Existing owner retained	TaskMonitorization.test.ts	-
packages/containerhub-back/src/modules/monitoring/repository/MonitoringMongoRepository.ts	a2dc96e152891f0765462e69cd0852e968086704d159844d4a231edcfbbe9993	unchanged	Monitoring configuration	Drax Mongo adapter sets model and search field only.	Existing owner retained	Monitoring.test.ts	-
packages/containerhub-back/src/modules/monitoring/repository/MonitoringSampleMongoRepository.ts	3f52c3deb28e0e98a5ed3312afe4bbd157baf18cbd14ebc657581f46a127e1dc	unchanged	Monitoring samples	Drax Mongo adapter sets sample model and search fields only.	Existing owner retained	MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/repository/MonitoringSampleSqliteRepository.ts	7cd523f3d621fef5aa9f1034d75bd53fca62b070e98a36aa08376e86041e1905	unchanged	Monitoring samples	SQLite sample fields and Date-to-ISO query translation belong at persistence boundary.	Existing owner retained	MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/repository/MonitoringSqliteRepository.ts	bade82de278091357968ace0ec2e69715640c2ddd0953945b2ffcef67428e5c3	unchanged	Monitoring configuration	SQLite configuration schema and Drax return-shape shims stay in persistence adapter.	Existing owner retained	Monitoring.test.ts	-
packages/containerhub-back/src/modules/monitoring/repository/TaskMonitorizationMongoRepository.ts	674d1ade9e2dfa91fc7f95281226466a34b091d5d7da97352a9d08d413ad25e1	unchanged	Task lifecycle history	Recent/create/purge operations stay beside the Mongo lifecycle model.	Existing owner retained	TaskMonitorizationRoutes.test.ts	-
packages/containerhub-back/src/modules/monitoring/repository/TaskMonitorizationSqliteRepository.ts	faaa2be9cc3cbb31cc7f10282af6dd085ffc2e9a986c6f7e5b12b85d7dac4a89	unchanged	Task lifecycle history	SQLite recent/create/purge implementation is the one persistence owner.	Existing owner retained	TaskMonitorizationRoutes.test.ts	-
packages/containerhub-back/src/modules/monitoring/routes/MonitoringRoutes.ts	afd7e34a6db1a72c7f935f6828c23355ac517bc15210bae89b30201ae898eb69	unchanged	Monitoring configuration	Routes, validation, permission wrapper and delete-then-sample cleanup can be followed in one registration.	Existing owner retained	Monitoring.test.ts;MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/routes/TaskMonitorizationRoutes.ts	92daec0f20d557c70b09611d46087a9c12a6e852b247aa487e2494b26cf75a5e	unchanged	Task lifecycle history	Single permissioned pagination route delegates to repository.	Existing owner retained	TaskMonitorizationRoutes.test.ts	-
packages/containerhub-back/src/modules/monitoring/schemas/MonitoringSampleSchema.ts	be4c278eabb425de8e1156f29f465a0505077bb6b2b6b4634927a6e843757c21	unchanged	Monitoring samples	Metrics and persisted sample contracts are colocated and schema-inferred.	Existing owner retained	MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/schemas/MonitoringSchema.ts	4d0470fca9b6aa818db8755748f98b0075aa5def7639fd57cac6af7a3ccd19c7	unchanged	Monitoring configuration	Create/calendar/permanent refinements and persisted contract share one Zod owner.	Existing owner retained	Monitoring.test.ts	-
packages/containerhub-back/src/modules/monitoring/services/MonitoringCollector.ts	7826a3858da677e72436c6b9674ba821fc6459bf525b24b75bd5d5c16c3cc4be	unchanged	Monitoring samples	Due check, stats collection, persistence and scheduler form one collector lifecycle; splitting risks timing/ordering.	Existing owner retained	MonitoringCollectorLogging.test.ts;MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/services/MonitoringSampleService.ts	1d6c0fa5c8e163c34c3a81c63c0059964e47086c35ad353d8fbf1b47f46e6d22	unchanged	Monitoring samples	Record/history/prune and paged delete are cohesive sample lifecycle methods.	Existing owner retained	MonitoringHistory.test.ts	-
packages/containerhub-back/src/modules/monitoring/services/MonitoringService.ts	6b207fefbb42900ad2c13488cfd6d2d5a28e695ebf84e7d1ecc13f537d4b194c	unchanged	Monitoring configuration	Create-for-services dedup/skips and status transition belong to configuration owner.	Existing owner retained	Monitoring.test.ts	-
packages/containerhub-back/src/modules/monitoring/services/MonitoringWorker.ts	d355d5e97d93d9700ab31edcc4ac7d800b500131e6a839f3d4a9fe20bcf81976	unchanged	Monitoring samples	Short process-signal lifecycle wrapper around collector; no extraction needed.	Existing owner retained	MonitoringWorker.test.ts	-
packages/containerhub-back/src/modules/monitoring/services/TaskMonitorizationManager.ts	0f3ba2cb53cf9baecf20b73f356bad9535f1d0b37692714881e596ab7b3c2d9f	blocked	Task lifecycle history	Lines 57-80 poll Docker; 83-128 reconcile running/removed; 130-169 resolve audit attribution and persist. Consider a local attribution helper only after characterizing ordering/errors; index.ts starts singleton and no direct manager behavior test exists. Decision: Polling and audit attribution could be separated but direct ordering/error characterization is absent.	See flow and test gate	NO direct manager test; TaskMonitorizationRoutes.test.ts covers read only	-
packages/containerhub-back/src/modules/registry/routes/RegistryRoutes.ts	24eaffebd70c09fd79ccf74df5658a37c87690849017291efd882bd45a77375d	unchanged	Registry integration	Three permissioned endpoints delegate to RegistryService without extra state.	Existing owner retained	RegistryService.test.ts	-
