path	sha256	flow	entry_or_caller	effect_or_consumer	tests	state	evidence	next_action
Dockerfile	3ac1dcf71b7792cea3337f18e12a0a11696bfb568968d5db1f22b2f1278ca5ab	operational	README.md:97; docker build --target application	packages/containerhub-back/src/index.ts:6-19; packages/containerhub-front/src/main.ts:13-26; docker/containerhub-monitoring:4	tests/test_stack_host_roots.py:20-58 tests stack not image; image build not run	unchanged	Dockerfile:1-25 stages install/build/prune then copy backend/front and monitoring launcher; Dockerfile:11 invokes backend build which packages/containerhub-back/package.json:10 runs SQLite smoke and may write smoke.db	No extraction; only verify image/build in isolated authorized environment; build smoke side effect remains out of this review
docker-compose.yml	76c85e8eaaef23164feb0dce8d30f812f40ab6bb387346180df187358c25d946	operational	README.md:126-132 docker stack deploy; tests/test_stack_host_roots.py:15 config	packages/containerhub-back/src/index.ts:6-19; packages/containerhub-back/src/monitoring.ts:5-6; packages/containerhub-agent/src/index.ts:1-6	tests/test_stack_host_roots.py:20-58; python3 -m unittest -v tests/test_stack_host_roots.py 3/3 pass	unchanged	docker-compose.yml:2-51 manager app; :53-81 monitoring process; :83-107 worker agent; :109-121 external network/secret; :9,39-41,89,98-100 roots mirrored in host binds intentionally	Keep service-local configuration visible; separate functional/security review of root-stack agent lacking TLS variables versus packages/containerhub-agent/stack.yml:5-18; README.md:37-40 stale claims SQLite/mTLS
setup.sh	18b6a286b5eb01e03d4266fa7e2f6ee5201c995138aa2fc775f82f7189a420aa	operational	package.json:10 npm run setup; README.md:22 sh setup.sh	npm install mutates workspace dependencies/lock; packages/containerhub-back/package.json:8 dev command	No setup execution; would install/change dependencies	blocked	setup.sh:11-15 runs npm install then npm install --workspaces --include-workspace-root under package.json:6-8 npm workspaces; second pass likely redundant but not behavior-verified; revisión de puerta: El segundo npm install parece redundante para resolver dependencias: el primero ya enlaza workspaces y la segunda invocación incluye explícitamente esos mismos workspaces más la raíz. No se ha demostrado equivalencia de instalación, lockfile y efectos de scripts en un checkout limpio; no cortar todavía.	Corte no ejecutado; puerta: En dos checkouts desechables de HEAD 274d28b8da335ee06bbdd9b9123687dce737774f (p. ej., git archive HEAD extraído en dos directorios temporales), con la misma imagen node:22-bookworm-slim, misma configuración npm y registro, ejecutar A: npm install; B: npm install && npm install --workspaces --include-workspace-root. Exigir éxito de ambas rutas; comparar hash de package-lock.json, npm ls --all --json (normalizando rutas absolutas), árbol de node_modules incluidas dependencias anidadas y destino de los tres enlaces @containerhub; comprobar scripts/side effects y ausencia de cambios no esperados. Nunca instalar en el checkout de trabajo ni copiar el lockfile generado al repo.
tests/test_stack_host_roots.py	560a347ebf6ad410dd83085ae1d3305938a4d98f5647fbfa8f7fbf9fe14bb1c5	operational	python3 -m unittest -v tests/test_stack_host_roots.py; unittest.main at :61-62	docker-compose.yml:9-14,39-41,59,89,98-100 rendered by docker compose config	tests/test_stack_host_roots.py:41-58; 3/3 pass	unchanged	tests/test_stack_host_roots.py:11-17 isolates compose interpolation via /dev/null env and JSON; :20-39 asserts roots/mounts and monitoring exclusion; :47-58 bootstrap defaults; no live Swarm or image coverage	Retain focused config contract; do not infer deploy correctness from rendered compose
packages/containerhub-agent/deploy-remote-worker-proof.sh	9073e844576e40ea2696fefd4005ca451d2baadf328f1ff7c3370328a6dd9c9a	services	packages/containerhub-agent/deploy-remote-worker-proof.sh:222	packages/containerhub-agent/src/server.ts:85	sin test automatizado del script	unchanged	packages/containerhub-agent/deploy-remote-worker-proof.sh:74 init exige conjunto completo de cinco secrets; deploy verifica backend antes de construir/push	packages/containerhub-agent/deploy-remote-worker-proof.sh:74 Mantener CLI unido: separar solo con prueba real de Swarm y rollback; ningún test automatizado del script
packages/containerhub-agent/src/__tests__/server.test.ts	23a7d8e03a37d10232a7ace2323078874b67efc97ad35b953b3aacce26f5fe2e	services	packages/containerhub-agent/src/server.ts:57	packages/containerhub-agent/src/__tests__/server.test.ts:9	packages/containerhub-agent/src/__tests__/server.test.ts:9-126	unchanged	packages/containerhub-agent/src/__tests__/server.test.ts:9 agent stats validates the container identifier and reads its local daemon; packages/containerhub-agent/src/__tests__/server.test.ts:126 agent lists only running containers from its own daemon; Caracterización /folders y /files con arrays inválidos y fileContent no string, GREEN antes/después del corte; agente 7/7 y build 0 (c65d3c9).	packages/containerhub-agent/src/__tests__/server.test.ts:126 Mantener fixtures con mkdtemp; no prueban daemon Swarm real
packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts	108852ffdfe450480913de643e77707a87b8ea9b76e14d84a9fcd2b170a29c98	services	packages/containerhub-agent/src/terminalRoutes.ts:14	packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts:17	packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts:17-103	unchanged	packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts:17 real mTLS WSS terminal preserves binary, validates target/resize and cleans up; packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts:103 terminal uses the deployed plaintext WebSocket transport	packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts:103 Mantener mTLS/binarios; requiere agente desplegado para prueba de worker real
packages/containerhub-agent/src/index.ts	c30be1a2e4e865064d4b4f9aeacea6158363eb6b4dcb9fedf7d1e7fe20701658	services	packages/containerhub-agent/src/index.ts:3	packages/containerhub-agent/src/server.ts:101	packages/containerhub-agent/src/__tests__/server.test.ts:52	unchanged	packages/containerhub-agent/src/index.ts:3 captura error de arranque y fija exitCode=1	packages/containerhub-agent/src/index.ts:3 Mantener bootstrap de seis líneas
packages/containerhub-agent/src/server.ts	cfc3bff27058b9c31c08f95794a80ab5fa87bfa3d30effb28c2efd03b99d1d46	services	packages/containerhub-agent/src/index.ts:1	packages/containerhub-agent/src/agentProvisioningRoutes.ts:98	packages/containerhub-agent/src/__tests__/server.test.ts:85	refactored	packages/containerhub-agent/src/server.ts:57 buildAgentServer concentra health/stats/terminal y escritura segura; safeDataPath valida antes de abrir; revisión de puerta: Separar el aprovisionamiento de archivos/carpetas de health, inventario y stats sí acorta el recorrido del servidor; mover el bloque íntegro, sin unificarlo con la implementación parecida del backend, que tiene configuración y protección de bases distintas. Beneficio neto: el entrypoint muestra sólo composición de rutas y cada control de escritura queda junto a su endpoint; riesgo alto de alterar límites de host, symlinks, hardlinks o respuesta de error.	Corte local c65d3c9; pruebas focales y compilación GREEN. No Docker/Swarm real
packages/containerhub-agent/src/agentProvisioningRoutes.ts	382a7b71216683f4b78fabf1ae32e154c7d647ed7a1d64f391d3b3d0cf9ddee3	services	packages/containerhub-agent/src/server.ts:80 registerAgentProvisioningRoutes	packages/containerhub-back/src/modules/services/services/AgentHealthClient.ts:149-156; POST /folders and /files	packages/containerhub-agent/src/__tests__/server.test.ts:85-127 GREEN before/after; agent 7/7 build 0	refactored	packages/containerhub-agent/src/agentProvisioningRoutes.ts:126-163 keeps path validation, O_NOFOLLOW and database hardlink protection verbatim from server.ts; machine comparison of moved helpers/route body identical; c65d3c9	No further extraction; Docker/Swarm worker validation requires separate live run
